google id,x,y,gis id
1,135.7871766,35.07409989,9058
2,135.6955323,35.00853518,2381
3,135.7011002,35.00830798,2372
4,135.7208507,34.92025684,5351
5,135.7603641,35.05495807,837
6,135.7368059,34.92335884,5284
7,135.6987514,34.97509916,2924
8,135.8003032,34.98879571,3168
9,135.7779095,35.06797248,823
10,135.6973821,34.96981133,4329
11,135.7539973,34.96229172,7127
12,135.6646321,34.97278562,2600
13,135.7926419,34.97353537,3262
14,135.8123949,34.96495537,4804
15,135.8154918,34.94661665,4832
16,135.6902914,34.98728592,2620
17,135.7441997,34.96112936,4385
18,135.7112367,35.01839145,2364
19,135.7275006,34.97177957,4131
20,135.7408208,35.05928309,826
21,135.7298117,34.99643896,2847
22,135.787913,35.03900777,2072